n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_om,npv_usd,irr_mean,payback_mean,lcoe_mean,tariff_avg,per_connection,tech_mix_str,co2_avoided_t,annual_gen_kwh,annualised_capex,annual_cost,socec_benefit_yr,co2_avoided_25yr
1,Maluku Tengah,Seram Utara,79,1.0,micro_hydro,1,0,new_build,0.091,598,151,39.9,39.9,127158,264488,195823,public_good,463271,321240,9265,-160713,0.012,17.0,0.1703,0.1081,3068,micro_hydro:1,281.40624,321240.0,47163.88348398928,56428.88348398928,193551.07035008323,7035.156000000001
1,Maluku Tengah,Seram Utara,80,1.0,micro_hydro,0,1,retrofit,0.364,4101,1066,281.4,281.4,901422,1874958,1388190,public_good,3287373,2268020,65747,-1154630,0.0111,17.0,0.1712,0.1081,3083,micro_hydro:1,1986.78552,2268020.0,334675.11918598897,400422.11918598897,1373447.8688079421,49669.638
7,Maluku Tengah,Seram Utara Barat,81,0.7817,micro_hydro,3,4,retrofit,0.162,8482,2367,624.9,624.8,2083918,4334547,3209233,blended_finance,7600157,5036111,152005,-2925710,0.0026,18.5,0.1798,0.1081,3210,micro_hydro:7,4411.633236,5036111.0,773743.4875224772,925748.4875224772,3175317.312202097,110290.83089999999
4,Maluku Tengah,Seram Utara Barat,82,0.7584,solar_biomass_hybrid,0,4,retrofit,0.295,2331,679,179.3,179.3,449109,817379,633244,blended_finance,767353,1444692,17073,2152246,0.4245,3.0,0.0639,0.194,1130,solar_biomass_hybrid:4,1173.089904,1444692.0,78121.33175417763,95194.33175417763,326516.5579168293,29327.2476
1,Maluku Tengah,Seram Utara Timur Kobi,83,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,728,241,63.6,63.6,159000,289380,224190,public_good,271839,512726,6048,764450,0.4256,3.0,0.0638,0.194,1127,solar_biomass_hybrid:1,416.333512,512726.0,27674.909334718042,33722.909334718046,115669.5790180829,10408.3378
1,Maluku Tengah,Seram Utara Timur Seti,84,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,594,185,48.8,48.8,122000,222040,172020,public_good,208673,393611,4643,586871,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:1,319.612132,393611.0,21244.215714461934,25887.215714461934,88793.14990060443,7990.3033
1,Maluku Tengah,Tehoru,85,1.0,micro_hydro,0,1,retrofit,0.227,515,152,40.1,40.1,144726,301031,222878,public_good,528122,323416,10562,-236097,-0.0097,,0.1928,0.1081,3474,micro_hydro:1,283.312416,323416.0,53766.12063636918,64328.12063636918,220645.4537827463,7082.810399999999
3,Maluku Tengah,Teluk Elpaputih,86,0.8315,micro_hydro,0,3,retrofit,0.227,8475,2386,629.9,630.0,2182400,4539391,3360895,blended_finance,7957047,5076571,159141,-3305366,-0.003,20.0,0.1856,0.1081,3334,micro_hydro:3,4447.076196,5076571.0,810077.1202700502,969218.1202700502,3324418.1525262725,111176.9049
1,Maluku Tengah,Telutih,87,1.0,micro_hydro,0,1,retrofit,0.273,958,233,61.5,61.5,202226,420631,311428,public_good,737576,495721,14752,-275307,0.0065,19.0,0.1757,0.1081,3165,micro_hydro:1,434.251596,495721.0,75089.84703248613,89841.84703248613,308157.53532142745,10856.2899
1,Maluku Tenggara,Kei Besar,88,1.0,solar_biomass_hybrid,0,1,retrofit,0.409,205,49,12.9,12.9,34027,61930,47978,public_good,58316,104286,1298,151774,0.4014,3.0,0.0673,0.194,1190,solar_biomass_hybrid:1,84.680232,104286.0,5936.933305241034,7234.933305241034,24815.821236976746,2117.0058
6,Maluku Tenggara,Kei Besar Selatan,89,0.9149,solar_biomass_hybrid,0,6,retrofit,0.22,3664,975,257.4,257.3,706991,1286720,996855,blended_finance,1208743,2074439,26894,2959272,0.383,3.0,0.0703,0.194,1239,solar_biomass_hybrid:6,1684.444468,2074439.0,123057.59267057004,149951.59267057004,514333.96286005527,42111.1117
7,Maluku Tenggara,Kei Besar Selatan Barat,90,0.8245,solar_biomass_hybrid,0,7,retrofit,0.344,2671,699,184.5,184.5,526804,958784,742793,blended_finance,900489,1487244,20035,2080033,0.374,3.0,0.0719,0.194,1288,solar_biomass_hybrid:7,1207.642128,1487244.0,91675.4087232182,111710.4087232182,383166.70192063844,30191.0532
1,Maluku Tenggara,Kei Kecil,91,1.0,solar_biomass_hybrid,0,1,retrofit,0.364,702,176,46.5,46.5,116250,211575,163912,public_good,198521,374430,4417,558252,0.4256,3.0,0.0638,0.194,1127,solar_biomass_hybrid:1,304.03716,374430.0,20210.678659197394,24627.678659197394,84472.93780104707,7600.928999999999
10,Maluku Tenggara,Kei Kecil Timur,92,0.875,wind_solar_hybrid,0,10,retrofit,0.441,6044,1727,455.9,455.9,1139750,2370680,1755215,blended_finance,2891742,3674431,76631,3530876,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:10,3251.871435,3674431.0,294397.41048707586,371028.41048707586,1272627.4479706702,81296.785875
2,Maluku Tenggara,Kei Kecil Timur,93,0.7868,solar_battery,0,2,retrofit,0.636,800,224,59.1,59.1,133744,239643,186694,public_good,308949,476540,6758,616935,0.3361,3.5,0.0815,0.1842,1379,solar_biomass_hybrid:1; solar_battery:1,398.370595,476540.0,31452.939291462244,38210.939291462244,131063.5217697155,9959.264874999999
4,Maluku Tenggara,Kei Kecil Timur,94,0.8351,solar_biomass_hybrid,0,4,retrofit,0.375,2559,713,188.2,188.2,470500,856310,663406,blended_finance,804236,1516984,17894,2261801,0.4256,3.0,0.0638,0.194,1127,solar_biomass_hybrid:4,1231.791008,1516984.0,81876.25169205412,99770.25169205412,342211.96330374567,30794.775199999996
1,Maluku Tenggara,Kei Kecil Timur Selatan,95,1.0,wind_solar_hybrid,0,1,retrofit,0.318,359,93,24.6,24.6,61500,127920,94710,public_good,155722,197853,4127,190107,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:1,175.099905,197853.0,15853.47294325304,19980.47294325304,68533.02219535793,4377.497625
3,Seram Bagian Barat,Amalatu,96,0.8624,micro_hydro,1,2,retrofit,0.167,7328,2013,531.4,531.4,1960613,4078077,3019344,blended_finance,7149951,4282900,143000,-3314593,-0.0133,,0.197,0.1081,3551,micro_hydro:3,3751.8203999999996,4282900.0,727909.7027015131,870909.7027015131,2987220.28026619,93795.51
3,Seram Bagian Barat,Amalatu,97,0.7136,solar_biomass_hybrid,1,2,retrofit,0.197,2626,678,179.0,179.0,525562,994929,760245,blended_finance,1184341,1442597,25139,1332550,0.2521,8.7,0.1081,0.1654,1746,solar_biomass_hybrid:2; micro_hydro:1,1193.7223960000001,1442597.0,120573.31654541586,145712.31654541584,499793.2457507764,29843.059900000004
1,Seram Bagian Barat,Amalatu,98,1.0,micro_hydro,0,1,retrofit,0.273,5004,1385,365.6,365.6,1211037,2518957,1864997,public_good,4416606,2946766,88332,-1675252,0.0052,19.0,0.177,0.1081,3188,micro_hydro:1,2581.367016,2946766.0,449638.09687782737,537970.0968778273,1845237.4322909478,64534.17540000001
6,Seram Bagian Barat,Elpaputih,99,0.8314,micro_hydro,1,5,retrofit,0.205,5870,1501,396.3,396.2,1411743,2936428,2174085,blended_finance,5148856,3193539,102978,-2251819,-0.0087,,0.1919,0.1081,3430,micro_hydro:6,2797.540164,3193539.0,524185.7238200516,627163.7238200516,2151171.572702777,69938.5041
1,Seram Bagian Barat,Huamual,100,1.0,solar_battery,0,1,retrofit,0.591,1097,298,78.7,78.7,150878,261522,206200,public_good,535653,634017,11517,617650,0.2421,4.0,0.101,0.1743,1797,solar_battery:1,553.496841,634017.0,54532.82350902454,66049.82350902454,226550.8946359542,13837.421025
2,Seram Bagian Barat,Huamual Belakang,101,0.8116,solar_biomass_hybrid,0,2,retrofit,0.273,6011,1498,395.5,395.4,1149249,2091634,1620441,public_good,1964463,3187172,43709,4414936,0.3591,3.0,0.0743,0.194,1311,solar_biomass_hybrid:2,2587.9836640000003,3187172.0,199994.61231246515,243703.61231246515,835903.3902317554,64699.59160000001
1,Seram Bagian Barat,Huamual Belakang,102,1.0,micro_hydro,0,1,retrofit,0.5,1366,363,95.8,95.8,309747,644275,477011,public_good,1129891,772313,22598,-405776,0.0094,18.0,0.1728,0.1081,3112,micro_hydro:1,676.546188,772313.0,115029.96620467963,137627.96620467963,472063.92408205115,16913.6547
1,Seram Bagian Barat,Huamual Belakang,103,1.0,micro_hydro,0,1,retrofit,0.273,9029,2173,573.7,573.7,2024841,4211669,3118255,public_good,7383350,4623321,147667,-3174860,-0.0058,,0.1886,0.1081,3397,micro_hydro:1,4050.029196,4623321.0,751671.1797662972,899338.1797662972,3084729.9565983997,101250.7299
2,Seram Bagian Barat,Inamosol,104,0.96,micro_hydro,0,2,retrofit,0.227,2227,555,146.5,146.5,509125,1058979,784052,public_good,1856813,1180834,37137,-776027,-0.003,,0.1856,0.1081,3345,micro_hydro:2,1034.410584,1180834.0,189035.1694441409,226172.1694441409,775770.5411934033,25860.2646
6,Seram Bagian Barat,Taniwel,105,0.8348,micro_hydro,0,6,retrofit,0.25,10247,2583,681.9,681.9,2357919,4904470,3631194,blended_finance,8598476,5495730,171970,-3559545,-0.0021,19.5,0.1847,0.1081,3328,micro_hydro:6,4814.25948,5495730.0,875378.6017339273,1047348.6017339273,3592405.703947371,120356.487
10,Seram Bagian Barat,Taniwel,106,0.7923,micro_hydro,2,8,retrofit,0.205,5950,1506,397.6,397.6,1346059,2754224,2050141,blended_finance,4568590,3204178,92043,-1092319,0.0713,11.2,0.1638,0.1253,3033,micro_hydro:8; solar_biomass_hybrid:2,2774.726232,3204178.0,465111.018056642,557154.018056642,1911038.2819342823,69368.1558
1,Seram Bagian Barat,Taniwel,107,1.0,solar_biomass_hybrid,0,1,retrofit,0.591,812,205,54.1,54.1,135250,246155,190702,public_good,231232,436164,5145,650317,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:1,354.165168,436164.0,23540.862919910396,28685.862919910396,98392.50981529267,8854.1292
7,Seram Bagian Barat,Taniwel Timur,108,0.8975,micro_hydro,0,7,retrofit,0.26,4058,1110,293.0,293.0,1078799,2243903,1661352,blended_finance,3934459,2361669,78690,-1817914,-0.0125,19.0,0.1962,0.1081,3544,micro_hydro:7,2068.822044,2361669.0,400552.51860904956,479242.51860904956,1643801.83882904,51720.5511
6,Seram Bagian Barat,Taniwel Timur,109,0.8746,solar_biomass_hybrid,0,6,retrofit,0.432,3824,1049,276.9,276.9,708688,1289811,999251,blended_finance,1211324,2231914,26953,3293326,0.415,3.0,0.0653,0.194,1154,solar_biomass_hybrid:6,1812.314168,2231914.0,123320.35460315848,150273.35460315848,515437.6062888336,45307.8542
2,Seram Bagian Timur,Bula Barat,110,0.9536,micro_hydro,0,2,retrofit,0.205,972,290,76.6,76.5,246156,512004,379080,public_good,898327,617013,17967,-318933,0.0103,17.5,0.1719,0.1081,3097,micro_hydro:2,540.503388,617013.0,91455.30360959706,109422.30360959706,375318.5013809179,13512.5847
8,Seram Bagian Timur,Bula Barat,111,0.7214,solar_battery,0,8,retrofit,0.5,6747,2053,542.0,542.1,1154750,2049515,1602132,blended_finance,3081193,4367925,66956,5235088,0.3153,3.6,0.0857,0.1817,1500,solar_battery:5; solar_biomass_hybrid:3,3704.439368,4367925.0,313684.7064540698,380640.7064540698,1305597.6231374596,92610.98419999999
6,Seram Bagian Timur,Gorom Timur,112,0.7981,solar_biomass_hybrid,0,6,retrofit,0.621,3041,847,223.6,223.6,556326,1010369,783348,blended_finance,996416,1802118,22104,2622694,0.3924,3.2,0.0702,0.1907,1176,solar_biomass_hybrid:5; solar_battery:1,1469.8090570000002,1802118.0,101441.37691671326,123545.37691671326,423760.64282432647,36745.226425
4,Seram Bagian Timur,Kian Darat,113,0.8545,solar_biomass_hybrid,1,3,retrofit,0.216,3212,843,222.6,222.6,558550,1016560,787555,blended_finance,954374,1793656,21235,2670073,0.4228,3.0,0.0642,0.194,1132,solar_biomass_hybrid:4,1456.448672,1793656.0,97161.23853241146,118396.23853241146,406099.09816617134,36411.2168
6,Seram Bagian Timur,Kilmury,114,0.9325,micro_hydro,0,6,retrofit,0.182,3516,997,263.2,263.3,854277,1776895,1315585,blended_finance,3114102,2121181,62282,-1127506,0.009,17.8,0.1732,0.1081,3123,micro_hydro:6,1858.154556,2121181.0,317035.0483523855,379317.0483523855,1301057.4758486825,46453.8639
7,Seram Bagian Timur,Kilmury,115,0.9028,solar_biomass_hybrid,1,6,retrofit,0.195,3251,883,233.1,233.2,590129,1074035,832081,blended_finance,1008166,1878681,22432,2786150,0.4201,3.0,0.0646,0.194,1141,solar_biomass_hybrid:7,1525.488972,1878681.0,102637.60036030647,125069.60036030647,428988.7292358512,38137.2243
4,Seram Bagian Timur,Pulau Gorom,116,0.858,solar_biomass_hybrid,0,4,retrofit,0.5,1331,409,108.0,107.9,271739,494564,383151,blended_finance,464737,870233,10340,1293358,0.4219,3.0,0.0643,0.194,1136,solar_biomass_hybrid:4,706.629196,870233.0,47313.13144724951,57653.13144724951,197750.24086406583,17665.7299
1,Seram Bagian Timur,Pulau Gorom,117,1.0,solar_biomass_hybrid,0,1,retrofit,0.227,8469,2128,561.8,561.8,1455936,2649803,2052870,public_good,2488206,4527578,55363,6642732,0.4092,3.0,0.0661,0.194,1169,solar_biomass_hybrid:1,3676.393336,4527578.0,253314.92337781348,308677.9233778135,1058765.2771859004,91909.8334
2,Seram Bagian Timur,Pulau Panjang,118,0.9231,solar_biomass_hybrid,0,2,retrofit,0.523,335,103,27.2,27.2,68000,123760,95880,public_good,116180,219130,2585,326710,0.4256,3.0,0.0638,0.194,1127,solar_biomass_hybrid:2,177.93356,219130.0,11827.850185247673,14412.850185247673,49436.07613539952,4448.339
3,Seram Bagian Timur,Pulau Panjang,119,0.823,solar_battery,0,3,retrofit,0.212,2422,648,171.1,171.1,359563,636675,498120,blended_finance,991122,1378768,21508,1621553,0.308,3.7,0.0871,0.1809,1529,solar_battery:2; solar_biomass_hybrid:1,1173.164891,1378768.0,100902.41462646793,122410.41462646793,419867.722168785,29329.122274999998
5,Seram Bagian Timur,Seram Timur,120,0.7908,solar_battery,0,5,retrofit,0.536,2476,709,187.2,187.3,351187,608725,479956,blended_finance,1246418,1508521,26799,1503793,0.2491,4.0,0.0988,0.1743,1757,solar_battery:5,1316.938833,1508521.0,126893.14315885724,153692.14315885724,527164.0510348803,32923.470825
6,Seram Bagian Timur,Seram Timur,121,0.742,solar_biomass_hybrid,0,6,retrofit,0.258,3641,1003,264.8,264.8,603748,1078861,841306,blended_finance,1456041,2134158,31783,2657502,0.3837,3.2,0.0717,0.1907,1451,solar_biomass_hybrid:5; solar_battery:1,1791.860832,2134158.0,148234.07481131182,180017.07481131182,617458.5666027996,44796.5208
8,Seram Bagian Timur,Siritaun Wida Timur,122,0.8068,solar_biomass_hybrid,1,7,retrofit,0.216,5528,1566,413.4,413.5,1086877,2005128,1546003,blended_finance,2058725,3331997,44954,4379191,0.3636,4.8,0.0785,0.1833,1314,solar_biomass_hybrid:7; micro_hydro:1,2722.468476,3331997.0,209591.07309884674,254545.07309884674,873089.6007290444,68061.7119
11,Seram Bagian Timur,Siwalalat,123,0.836,micro_hydro,1,10,retrofit,0.186,6359,1846,487.3,487.2,1613430,3338973,2476201,blended_finance,5758539,3927570,115421,-1890431,0.041,17.6,0.1692,0.1159,3119,micro_hydro:10; solar_biomass_hybrid:1,3427.068632,3927570.0,586255.264054966,701676.264054966,2406749.5857085334,85676.7158
1,Seram Bagian Timur,Siwalalat,124,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,899,261,68.9,68.9,187673,341565,264619,public_good,320758,555279,7137,795557,0.3872,3.0,0.0695,0.194,1228,solar_biomass_hybrid:1,450.886548,555279.0,32655.169303836057,39792.16930383605,136487.14071215768,11272.163700000001
3,Seram Bagian Timur,Teluk Waru,125,0.9425,micro_hydro,3,0,new_build,0.136,1987,532,140.4,140.5,452184,940542,696364,blended_finance,1648306,1131995,32967,-585366,0.0099,17.7,0.1723,0.1081,3098,micro_hydro:3,991.62762,1131995.0,167807.85356726503,200774.85356726503,688657.7477357191,24790.6905
4,Seram Bagian Timur,Teluk Waru,126,0.7873,solar_biomass_hybrid,0,4,retrofit,0.205,1920,466,123.0,122.9,289625,522535,406080,blended_finance,593043,991523,13053,1365888,0.3816,3.2,0.0726,0.1891,1272,solar_biomass_hybrid:3; solar_battery:1,819.004668,991523.0,60375.484226285385,73428.48422628539,251859.7008961589,20475.116700000002
6,Seram Bagian Timur,Teor,127,0.8764,solar_biomass_hybrid,0,6,retrofit,0.273,2538,696,183.7,183.8,505499,920008,712754,blended_finance,863659,1480797,19217,2111411,0.3872,3.0,0.0696,0.194,1240,solar_biomass_hybrid:6,1202.407164,1480797.0,87925.88451661922,107142.88451661922,367500.09389200393,30060.179099999998
2,Seram Bagian Timur,Tutuk Tolu,128,0.9203,solar_biomass_hybrid,0,2,retrofit,0.455,1377,396,104.5,104.5,268179,488086,378133,public_good,458518,842589,10203,1241794,0.4137,3.0,0.0655,0.194,1157,solar_biomass_hybrid:2,684.182268,842589.0,46679.99837527451,56882.99837527451,195108.6844271916,17104.5567
8,Seram Bagian Timur,Tutuk Tolu,129,0.8652,solar_biomass_hybrid,0,8,retrofit,0.193,6767,1906,503.2,503.2,1302291,2405487,1853890,blended_finance,2488542,4055388,54256,5330407,0.3691,4.8,0.0777,0.1833,1305,solar_biomass_hybrid:7; micro_hydro:1,3315.035344,4055388.0,253349.13027798774,307605.13027798774,1055085.596853498,82875.8836
2,Seram Bagian Timur,Wakate,130,0.9391,solar_biomass_hybrid,0,2,retrofit,0.591,1862,520,137.3,137.3,372399,677767,525082,public_good,636351,1106367,14159,1588475,0.3897,3.0,0.0691,0.194,1223,solar_biomass_hybrid:2,898.3700040000001,1106367.0,64784.50932374369,78943.5093237437,270776.2369804409,22459.2501
9,Seram Bagian Timur,Wakate,131,0.8669,solar_biomass_hybrid,1,8,retrofit,0.258,4991,1463,386.2,386.1,1052012,1914661,1483334,blended_finance,1798522,3112786,40016,4459227,0.3875,3.0,0.0695,0.194,1229,solar_biomass_hybrid:9,2527.5822319999997,3112786.0,183100.7812951628,223116.7812951628,765290.5598424084,63189.555799999995
7,Seram Bagian Timur,Werinama,132,0.7428,solar_biomass_hybrid,6,1,new_build,0.136,3862,1192,314.7,314.7,897244,1735958,1316600,blended_finance,2300591,2536068,47941,1762921,0.2405,9.7,0.1124,0.1572,1930,solar_biomass_hybrid:4; micro_hydro:3,2121.37784,2536068.0,234214.54368677165,282155.54368677165,967793.5148456268,53034.446
1,Seram Bagian Timur,Werinama,133,1.0,micro_hydro,1,0,new_build,0.136,2344,751,198.3,198.3,658919,1370552,1014736,public_good,2402355,1597817,48047,-917458,0.0047,19.0,0.1776,0.1081,3198,micro_hydro:1,1399.687692,1597817.0,244574.7549645436,292621.7549645436,1003692.6195283846,34992.1923
